Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
500 Volvo Parkway, ,Chesapeake,Dollar Tree,757 321 5000,United States,"56,900",Discount Stores,Consumer Defensive,VA,DLTR,http://www.dollartree.com,23320
130 Royall Street, ,Canton,Target Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TGT,http://www.dunkinbrands.com,02021
6363 South Fiddlerâs Green Circle,Suite 800,Greenwood Village,Newmont Corporation,303-863-7414,United States,"16,600",Gold,Basic Materials,CO,NEM,http://www.newmont.com,80111
6555 State Highway 161, ,Irving,McKesson Corp.,972 446 4800,United States,"60,000",Medical Distribution,Healthcare,TX,MCK,http://www.mckesson.com,75039
130 Royall Street, ,Canton,AmerisourceBergen Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ABC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Waters Corporation,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WAT,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Cardinal Health Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CAH,http://www.dunkinbrands.com,02021
430 East 29th Street,14th Floor,New York,Bristol-Myers Squibb,212 546 4000,United States,"30,000",Drug Manufacturers—General,Healthcare,NY,BMY,http://www.bms.com,10016
130 Royall Street, ,Canton,Henry Schein,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HSIC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Zimmer Biomet,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ZBH,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Abbott Laboratories,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ABT,http://www.dunkinbrands.com,02021
250 Campus Drive, ,Marlborough,Hologic,508 263 2900,United States,"6,478",Medical Instruments & Supplies,Healthcare,MA,HOLX,http://www.hologic.com,01752
1020 Kifer Road, ,Sunnyvale,Intuitive Surgical Inc.,408 523 2100,United States,"7,326",Medical Instruments & Supplies,Healthcare,CA,ISRG,http://www.intuitive.com,94086
130 Royall Street, ,Canton,Agilent Technologies Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,A,http://www.dunkinbrands.com,02021
3100 Hansen Way, ,Palo Alto,Varian Medical Systems,650 493 4000,United States,"10,000",Medical Instruments & Supplies,Healthcare,CA,VAR,http://www.varian.com,94304
6340 Sequence Drive, ,San Diego,DexCom,858 200 0200,United States,"3,900",Diagnostics & Research,Healthcare,CA,DXCM,http://www.dexcom.com,92121
130 Royall Street, ,Canton,ResMed,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,RMD,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,IDEXX Laboratories,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,IDXX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,ABIOMED Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ABMD,http://www.dunkinbrands.com,02021
940 Winter Street, ,Waltham,PerkinElmer,781 663 6900,United States,"13,000",Diagnostics & Research,Healthcare,MA,PKI,http://www.perkinelmer.com,02451
130 Royall Street, ,Canton,Danaher Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DHR,http://www.dunkinbrands.com,02021
300 Boston Scientific Way, ,Marlborough,Boston Scientific,508-683-4000,United States,"36,000",Medical Devices,Healthcare,MA,BSX,http://www.bostonscientific.com,01752-1234
130 Royall Street, ,Canton,Teleflex,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TFX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Medtronic plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MDT,http://www.dunkinbrands.com,02021
One Edwards Way, ,Irvine,Edwards Lifesciences,949 250 2500,United States,"13,900",Medical Devices,Healthcare,CA,EW,http://www.edwards.com,92614
One Baxter Parkway, ,Deerfield,Baxter International Inc.,224 948 2000,United States,"50,000",Medical Instruments & Supplies,Healthcare,IL,BAX,http://www.baxter.com,60015
2825 Airview Boulevard, ,Kalamazoo,Stryker Corp.,269 385 2600,United States,"40,000",Medical Devices,Healthcare,MI,SYK,http://www.stryker.com,49002
130 Royall Street, ,Canton,STERIS plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,STE,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Becton Dickinson,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BDX,http://www.dunkinbrands.com,02021
2000 16th Street, ,Denver,DaVita Inc.,720 631 2100,United States,"65,000",Medical Care Facilities,Healthcare,CO,DVA,http://www.davita.com,80202
One Park Plaza, ,Nashville,HCA Healthcare,615 344 9551,United States,"210,000",Medical Care Facilities,Healthcare,TN,HCA,http://www.hcahealthcare.com,37203
Universal Corporate Center,367 South Gulph Road PO Box 61558,King Of Prussia,Universal Health Services,610-768-3300,United States,"90,000",Medical Care Facilities,Healthcare,PA,UHS,http://www.uhsinc.com,19406
4500 Dorr Street, ,Toledo,Welltower Inc.,419-247-2800,United States,443,REIT—Healthcare Facilities,Real Estate,OH,WELL,http://www.welltower.com,43615
353 North Clark Street,Suite 3300,Chicago,Ventas Inc,877-483-6827,United States,516,REIT—Healthcare Facilities,Real Estate,IL,VTR,http://www.ventasreit.com,60654
1920 Main Street,Suite 1200,Irvine,Healthpeak Properties,949-407-0700,United States,204,REIT—Healthcare Facilities,Real Estate,CA,PEAK,http://www.healthpeak.com,92614
130 Royall Street, ,Canton,Laboratory Corp. of America Holding,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,LH,http://www.dunkinbrands.com,02021
One CVS Drive, ,Woonsocket,CVS Health,401-765-1500,United States,"290,000",Healthcare Plans,Healthcare,RI,CVS,http://www.cvshealth.com,02895
500 Plaza Drive, ,Secaucus,Quest Diagnostics,973 520 2700,United States,"47,000",Diagnostics & Research,Healthcare,NJ,DGX,http://www.questdiagnostics.com,07094
130 Royall Street, ,Canton,West Pharmaceutical Services,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WST,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,The Cooper Companies,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,COO,http://www.dunkinbrands.com,02021
2820 Orchard Parkway, ,San Jose,Align Technology,408 470 1000,United States,"14,530",Medical Devices,Healthcare,CA,ALGN,http://www.aligntech.com,95134
130 Royall Street, ,Canton,Dentsply Sirona,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,XRAY,http://www.dunkinbrands.com,02021
2800 Rockcreek Parkway, ,North Kansas City,Cerner,816-221-1024,United States,"27,400",Health Information Services,Healthcare,MO,CERN,http://www.cerner.com,64117-2551
No. 1 Leggett Road, ,Carthage,Leggett & Platt,417 358 8131,United States,"22,000","Furnishings, Fixtures & Appliances",Consumer Cyclical,MO,LEG,http://www.leggett.com,64836
160 South Industrial Boulevard, ,Calhoun,Mohawk Industries,706 629 7721,United States,"41,800","Furnishings, Fixtures & Appliances",Consumer Cyclical,GA,MHK,http://www.mohawkind.com,30701
1000 Loweâs Boulevard, ,Mooresville,Lowe's Cos.,704 758 1000,United States,"300,000",Home Improvement Retail,Consumer Cyclical,NC,LOW,http://www.lowes.com,28117
2455 Paces Ferry Road, ,Atlanta,Home Depot,770-433-8211,United States,"400,000",Home Improvement Retail,Consumer Cyclical,GA,HD,http://www.homedepot.com,30339
700 Northwest 107th Avenue, ,Miami,Lennar Corp.,305-559-4000,United States,"10,106",Residential Construction,Consumer Cyclical,FL,LEN,http://www.lennar.com,33172
130 Royall Street, ,Canton,PulteGroup,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PHM,http://www.dunkinbrands.com,02021
Plaza America Tower I,Suite 500 11700 Plaza America Drive,Reston,"NVR, Inc.",703-956-4000,United States,"5,700",Residential Construction,Consumer Cyclical,VA,NVR,http://www.nvrinc.com,20190
1341 Horton Circle, ,Arlington,D. R. Horton,817-390-8200,United States,"8,916",Residential Construction,Consumer Cyclical,TX,DHI,http://www.drhorton.com,76011
4747 Bethesda Avenue,Suite 1300,Bethesda,Host Hotels & Resorts,240-744-1000,United States,175,REIT—Hotel & Motel,Real Estate,MD,HST,http://www.hosthotels.com,20817
130 Royall Street, ,Canton,Carnival Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CCL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Marriott Int'l.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MAR,http://www.dunkinbrands.com,02021
7665 Corporate Center Drive, ,Miami,Norwegian Cruise Line Holdings,305 436 4000,United States,"36,000",Travel Services,Consumer Cyclical,FL,NCLH,http://www.nclhltdinvestor.com,33126
130 Royall Street, ,Canton,Royal Caribbean Group,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,RCL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Hilton Worldwide Holdings Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HLT,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Whirlpool Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WHR,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Kimberly-Clark,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,KMB,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,The Clorox Company,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CLX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Colgate-Palmolive,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Church & Dwight,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CHD,http://www.dunkinbrands.com,02021
6655 Peachtree Dunwoody Road, ,Atlanta,Newell Brands,770 418 7000,United States,"30,000",Household & Personal Products,Consumer Defensive,GA,NWL,http://www.newellbrands.com,30328
2884 Sand Hill Road, ,Menlo Park,Robert Half International,650 234 6000,United States,"16,000",Staffing & Employment Services,Industrials,CA,RHI,http://www.roberthalf.com,94025
130 Royall Street, ,Canton,Walmart,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WMT,http://www.dunkinbrands.com,02021
999 Lake Drive, ,Issaquah,Costco Wholesale Corp.,425 313 8100,United States,"156,000",Discount Stores,Consumer Defensive,WA,COST,http://www.costco.com,98027
130 Royall Street, ,Canton,DXC Technology,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DXC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Accenture plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ACN,http://www.dunkinbrands.com,02021
Glenpointe Centre West,500 Frank West Burr Boulevard,Teaneck,Cognizant Technology Solutions,201-801-0233,United States,"281,200",Information Technology Services,Technology,NJ,CTSH,http://www.cognizant.com,07666
56 Top Gallant Road,PO Box 10212,Stamford,Gartner Inc,203-316-1111,United States,"16,724",Information Technology Services,Technology,CT,IT,http://www.gartner.com,06902
130 Royall Street, ,Canton,Leidos Holdings,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,LDOS,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,International Business Machines,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,IBM,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,NRG Energy,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NRG,http://www.dunkinbrands.com,02021
4300 Wilson Boulevard,11th Floor,Arlington,AES Corp,703-522-1315,United States,"8,000",Utilities—Diversified,Utilities,VA,AES,http://www.aes.com,22203
6901 Professional Parkway East,Suite 200,Sarasota,Roper Technologies,941 556 2601,United States,"16,460",Specialty Industrial Machinery,Industrials,FL,ROP,http://www.ropertech.com,34240
3M Center, ,St. Paul,3M Company,651-733-1110,United States,"96,000",Specialty Industrial Machinery,Industrials,MN,MMM,http://www.3m.com,55144-1000
5 Necco Street, ,Boston,General Electric,617-443-3000,United States,"205,000",Specialty Industrial Machinery,Industrials,MA,GE,http://www.ge.com,02210
130 Royall Street, ,Canton,Honeywell Int'l Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HON,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Air Products & Chemicals Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,APD,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Otis Worldwide,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,OTIS,http://www.dunkinbrands.com,02021
6920 Seaway Boulevard, ,Everett,Fortive Corp,425 446 5000,United States,"25,000",Scientific & Technical Instruments,Technology,WA,FTV,http://www.fortive.com,98203
130 Royall Street, ,Canton,Flowserve Corporation,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FLS,http://www.dunkinbrands.com,02021
1000 Stanley Drive, ,New Britain,Stanley Black & Decker,860-225-5111,United States,"59,438",Tools & Accessories,Industrials,CT,SWK,http://www.stanleyblackanddecker.com,06053
2801 80th Street, ,Kenosha,Snap-on,262 656 5200,United States,"12,800",Tools & Accessories,Industrials,WI,SNA,http://www.snapon.com,53143
100 Grainger Parkway, ,Lake Forest,Grainger (W.W.) Inc.,847 535 1000,United States,"23,800",Industrial Distribution,Industrials,IL,GWW,http://www.grainger.com,60045-5201
6035 Parkland Boulevard, ,Cleveland,Parker-Hannifin,216 896 3000,United States,"50,520",Specialty Industrial Machinery,Industrials,OH,PH,http://www.parker.com,44124-4141
3005 Highland Parkway, ,Downers Grove,Dover Corporation,630-541-1540,United States,"24,000",Specialty Industrial Machinery,Industrials,IL,DOV,http://www.dovercorporation.com,60515
155 Harlem Avenue, ,Glenview,Illinois Tool Works,847 724 7500,United States,"45,000",Specialty Industrial Machinery,Industrials,IL,ITW,http://www.itw.com,60025-4075
130 Royall Street, ,Canton,Pentair plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PNR,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Ingersoll Rand,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,IR,http://www.dunkinbrands.com,02021
1 International Drive, ,Rye Brook,Xylem Inc.,914 323 5700,United States,"16,000",Specialty Industrial Machinery,Industrials,NY,XYL,http://www.xylem.com,10573
500 Jackson Street,Box 3005,Columbus,Cummins Inc.,812 377 5000,United States,"61,600",Specialty Industrial Machinery,Industrials,IN,CMI,http://www.cumminseurope.com/,47202-3005
1925 West Field Court,Suite 200,Lake Forest,IDEX Corporation,847 498 7070,United States,"7,000",Specialty Industrial Machinery,Industrials,IL,IEX,http://www.idexcorp.com,60045-4824
8711 River Crossing Boulevard, ,Indianapolis,Duke Realty Corp,317-808-6000,United States,400,REIT—Industrial,Real Estate,IN,DRE,http://www.dukerealty.com,46240
Pier 1,Bay 1,San Francisco,Prologis,415-394-9000,United States,"1,712",REIT—Industrial,Real Estate,CA,PLD,http://www.prologis.com,94111
130 Royall Street, ,Canton,Marsh & McLennan,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MMC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Arthur J. Gallagher & Co.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AJG,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Willis Towers Watson,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WLTW,http://www.dunkinbrands.com,02021
1185 Avenue of the Americas,40th Floor,New York,Hess Corporation,212 997 8500,United States,"1,775",Oil & Gas E&P,Energy,NY,HES,http://www.hess.com,10036
6001 Bollinger Canyon Road, ,San Ramon,Chevron Corp.,925 842 1000,United States,"48,200",Oil & Gas Integrated,Energy,CA,CVX,http://www.chevron.com,94583-2324
5959 Las Colinas Boulevard, ,Irving,Exxon Mobil Corp.,972-940-6000,United States,"74,900",Oil & Gas Integrated,Energy,TX,XOM,http://corporate.exxonmobil.com,75039-2298
130 Royall Street, ,Canton,Verizon Communications,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,VZ,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,AT&T Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,T,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Take-Two Interactive,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TTWO,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Electronic Arts,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,EA,http://www.dunkinbrands.com,02021
3100 Ocean Park Boulevard, ,Santa Monica,Activision Blizzard,310 255 2000,United States,"9,080",Electronic Gaming & Multimedia,Communication Services,CA,ATVI,http://www.activisionblizzard.com,90405
1600 Amphitheatre Parkway, ,Mountain View,Alphabet Inc. (Class C),650-253-0000,United States,"127,498",Internet Content & Information,Communication Services,CA,GOOG,http://www.abc.xyz,94043
1355 Market Street,Suite 900,San Francisco,"Twitter, Inc.",415-222-9670,United States,"5,200",Internet Content & Information,Communication Services,CA,TWTR,http://www.twitter.com,94103
1601 Willow Road, ,Menlo Park,"Facebook, Inc.",650-543-4800,United States,"52,534",Internet Content & Information,Communication Services,CA,FB,http://investor.fb.com,94025
1600 Amphitheatre Parkway, ,Mountain View,Alphabet Inc. (Class A),650-253-0000,United States,"127,498",Internet Content & Information,Communication Services,CA,GOOGL,http://www.abc.xyz,94043
800 Connecticut Avenue, ,Norwalk,Booking Holdings Inc,203-299-8000,United States,"25,000",Travel Services,Consumer Cyclical,CT,BKNG,http://www.bookingholdings.com,06854
117 Adams Street, ,Brooklyn,Etsy,718 880 3660,United States,"1,292",Internet Retail,Consumer Cyclical,NY,ETSY,http://www.etsy.com,11201
410 Terry Avenue North, ,Seattle,Amazon.com Inc.,206-266-1000,United States,"798,000",Internet Retail,Consumer Cyclical,WA,AMZN,http://www.amazon.com,98109-5210
1111 Expedia Group Way West, ,Seattle,Expedia Group,206-481-7200,United States,"25,400",Travel Services,Consumer Cyclical,WA,EXPE,http://www.expediagroup.com,98119
2025 Hamilton Avenue, ,San Jose,eBay Inc.,408-376-7008,United States,"13,300",Internet Retail,Consumer Cyclical,CA,EBAY,http://www.ebayinc.com,95125
130 Royall Street, ,Canton,Automatic Data Processing,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ADP,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Verisign Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,VRSN,http://www.dunkinbrands.com,02021
145 Broadway, ,Cambridge,Akamai Technologies Inc,617-444-3000,United States,"7,951",Software—Infrastructure,Technology,MA,AKAM,http://www.akamai.com,02142
130 Royall Street, ,Canton,Goldman Sachs Group,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,GS,http://www.dunkinbrands.com,02021
211 Main Street, ,San Francisco,Charles Schwab Corporation,415-667-7000,United States,"22,100",Capital Markets,Financial Services,CA,SCHW,http://www.schwab.com,94105
880 Carillon Parkway, ,St. Petersburg,Raymond James Financial Inc.,727-567-1000,United States,"14,200",Capital Markets,Financial Services,FL,RJF,http://www.raymondjames.com,33716
1585 Broadway, ,New York,Morgan Stanley,212-761-4000,United States,"63,051",Capital Markets,Financial Services,NY,MS,http://www.morganstanley.com,10036
109 Northpark Boulevard, ,Covington,Pool Corporation,985 892 5521,United States,"4,500",Leisure,Consumer Cyclical,LA,POOL,http://www.poolcorp.com,70433-5001
1027 Newport Avenue,PO Box 1059,Pawtucket,Hasbro Inc.,401 431 8697,United States,"5,600",Leisure,Consumer Cyclical,RI,HAS,http://www.hasbro.com,02861-1059
1 Fountain Square, ,Chattanooga,Unum Group,423-294-1011,United States,"10,300",Insurance—Life,Financial Services,TN,UNM,http://www.unum.com,37402
130 Royall Street, ,Canton,MetLife Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MET,http://www.dunkinbrands.com,02021
711 High Street, ,Des Moines,Principal Financial Group,515-247-5111,United States,"17,601",Insurance—Diversified,Financial Services,IA,PFG,http://www.principal.com,50392
130 Royall Street, ,Canton,Prudential Financial,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PRU,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,AFLAC Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AFL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Globe Life Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,GL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Bio-Rad Laboratories,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BIO,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Mettler Toledo,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MTD,http://www.dunkinbrands.com,02021
168 Third Avenue, ,Waltham,Thermo Fisher Scientific,781 622 1000,United States,"75,000",Diagnostics & Research,Healthcare,MA,TMO,http://www.thermofisher.com,02451
130 Royall Street, ,Canton,IQVIA Holdings Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,IQV,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Illumina Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ILMN,http://www.dunkinbrands.com,02021
Centene Plaza,7700 Forsyth Boulevard,St. Louis,Centene Corporation,314-725-4477,United States,"56,600",Healthcare Plans,Healthcare,MO,CNC,http://www.centene.com,63105
Humana Building,500 West Main Street,Louisville,Humana Inc.,502-580-1000,United States,"46,000",Healthcare Plans,Healthcare,KY,HUM,http://www.humana.com,40202
UnitedHealth Group Center,9900 Bren Road East,Minnetonka,UnitedHealth Group Inc.,952-936-1300,United States,"325,000",Healthcare Plans,Healthcare,MN,UNH,http://www.unitedhealthgroup.com,55343
900 Cottage Grove Road, ,Bloomfield,CIGNA Corp.,860-226-6000,United States,"73,700",Healthcare Plans,Healthcare,CT,CI,http://www.cigna.com,06002
130 Royall Street, ,Canton,Anthem,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ANTM,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Ball Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BLL,http://www.dunkinbrands.com,02021
100 Winchester Circle, ,Los Gatos,Netflix Inc.,408-540-3700,United States,"8,600",Entertainment,Communication Services,CA,NFLX,http://www.netflix.com,95032
130 Royall Street, ,Canton,The Walt Disney Company,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DIS,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Fox Corporation (Class A),781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FOXA,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,ViacomCBS,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,VIAC,http://www.dunkinbrands.com,02021
1211 Avenue of the Americas, ,New York,Fox Corporation (Class B),212-852-7000,United States,"9,000",Broadcasting,Communication Services,NY,FOX,http://www.foxcorporation.com,10036
130 Royall Street, ,Canton,Live Nation Entertainment,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,LYV,http://www.dunkinbrands.com,02021
3555 Farnam Street, ,Omaha,Berkshire Hathaway,402-346-1400,United States,"391,500",Insurance—Diversified,Financial Services,NE,BRK.B,http://www.berkshirehathaway.com,68131
488 8th Avenue, ,San Diego,Sempra Energy,619-696-2000,United States,"18,000",Utilities—Diversified,Utilities,CA,SRE,http://www.sempra.com,92101
1111 Louisiana Street, ,Houston,CenterPoint Energy,713-207-1111,United States,"14,262",Utilities—Regulated Gas,Utilities,TX,CNP,http://www.centerpointenergy.com,77002
700 Universe Boulevard, ,Juno Beach,NextEra Energy,561-694-4000,United States,"14,800",Utilities—Regulated Electric,Utilities,FL,NEE,http://www.nexteraenergy.com,33408
130 Royall Street, ,Canton,NiSource Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NI,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Xcel Energy Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,XEL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Pinnacle West Capital,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PNW,http://www.dunkinbrands.com,02021
10 South Dearborn Street,48th Floor PO Box 805379,Chicago,Exelon Corp.,800-483-3220,United States,"32,713",Utilities—Diversified,Utilities,IL,EXC,http://www.exeloncorp.com,60680
130 Royall Street, ,Canton,CMS Energy,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CMS,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,DTE Energy Co.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DTE,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Eversource Energy,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ES,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Ameren Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AEE,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Assurant,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AIZ,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Loews Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,L,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Lincoln National,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,LNC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Vornado Realty Trust,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,VNO,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Boston Properties,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,BXP,http://www.dunkinbrands.com,02021
420 Lexington Avenue, ,New York,SL Green Realty,212-594-2700,United States,"1,033",REIT—Office,Real Estate,NY,SLG,http://www.slgreen.com,10170
26 North Euclid Avenue, ,Pasadena,Alexandria Real Estate Equities,626-578-0777,United States,439,REIT—Office,Real Estate,CA,ARE,http://www.are.com,91101
130 Royall Street, ,Canton,Halliburton Co.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HAL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Schlumberger Ltd.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SLB,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,TechnipFMC,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,FTI,http://www.dunkinbrands.com,02021
17021 Aldine Westfield Road, ,Houston,Baker Hughes Co,713 439 8600,United States,"58,000",Oil & Gas Equipment & Services,Energy,TX,BKR,http://www.bakerhughes.com,77073-5101
7909 Parkwood Circle Drive, ,Houston,National Oilwell Varco Inc.,713 346 7500,United States,"33,810",Oil & Gas Equipment & Services,Energy,TX,NOV,http://www.nov.com,77036-6565
130 Royall Street, ,Canton,ConocoPhillips,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,COP,http://www.dunkinbrands.com,02021
500 West Texas Avenue,Suite 1200,Midland,Diamondback Energy,432 221 7400,United States,712,Oil & Gas E&P,Energy,TX,FANG,http://www.diamondbackenergy.com,79701
